id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
116343,71480,4755,155,2016-01-13 14:52:46 UTC,2016-01-13 14:52:46 UTC,,
116344,71596,4570,21,2016-01-13 14:53:45 UTC,2016-01-13 14:53:45 UTC,,
118824,73077,4755,164,2016-01-14 14:57:13 UTC,2016-01-14 14:57:13 UTC,,
118825,73082,4755,165,2016-01-14 14:57:16 UTC,2016-01-14 14:57:16 UTC,,
118826,73116,4755,166,2016-01-14 14:57:19 UTC,2016-01-14 14:57:19 UTC,,
120441,74073,4755,175,2016-01-15 02:29:05 UTC,2016-01-15 02:29:05 UTC,,
120612,74129,4755,178,2016-01-15 03:17:24 UTC,2016-01-15 03:17:24 UTC,,
121254,74597,3812,418,2016-01-15 19:38:28 UTC,2016-01-15 19:38:28 UTC,,
121545,74715,4982,32,2016-01-15 21:10:33 UTC,2016-01-15 21:10:33 UTC,,
133603,81616,1247,228,2016-01-19 16:06:59 UTC,2016-01-19 16:06:59 UTC,,
142472,85834,5301,2,2016-01-22 03:51:18 UTC,2016-01-22 03:51:18 UTC,,
144791,86988,5337,2,2016-01-23 03:48:30 UTC,2016-01-23 03:48:30 UTC,,
144792,86989,5337,3,2016-01-23 03:48:30 UTC,2016-01-23 03:48:30 UTC,,
144793,86997,5337,6,2016-01-23 03:49:42 UTC,2016-01-23 03:49:42 UTC,,
146978,88182,5337,37,2016-01-23 22:08:51 UTC,2016-01-23 22:08:51 UTC,,
146979,88180,5337,36,2016-01-23 22:08:52 UTC,2016-01-23 22:08:52 UTC,,
146980,88176,5337,33,2016-01-23 22:08:56 UTC,2016-01-23 22:08:56 UTC,,
146996,88199,5337,44,2016-01-23 22:13:59 UTC,2016-01-23 22:13:59 UTC,,
146997,88192,5337,42,2016-01-23 22:14:01 UTC,2016-01-23 22:14:01 UTC,,
147000,88202,5337,46,2016-01-23 22:15:46 UTC,2016-01-23 22:15:46 UTC,,
147001,88201,5337,45,2016-01-23 22:15:47 UTC,2016-01-23 22:15:47 UTC,,
147105,88247,5375,15,2016-01-23 22:34:55 UTC,2016-01-23 22:34:55 UTC,,
147077,88237,5375,9,2016-01-23 22:31:30 UTC,2016-01-23 22:31:30 UTC,,
147078,88241,5375,12,2016-01-23 22:31:32 UTC,2016-01-23 22:31:32 UTC,,
147227,88277,5076,25,2016-01-23 22:58:52 UTC,2016-01-23 22:58:52 UTC,,
