visited_at,posts_read,mobile,time_read
2017-10-20,1,false,2
2017-10-26,7450,false,14555
2017-10-27,7,false,14
2017-10-28,8,false,16
2017-10-29,0,false,0
2017-10-30,32,false,63
2017-10-31,8,false,16
2017-11-01,1693,false,3308
2017-11-02,3,false,6
2017-11-03,14,false,27
2017-11-05,0,false,0
2017-11-06,0,false,0
2017-11-07,1,false,2
2017-11-08,0,false,0
2017-11-09,0,false,0
2017-11-10,0,false,0
2017-11-12,204,false,399
2017-11-13,0,false,0
2017-11-14,28,false,55
2017-11-15,13,false,25
2017-11-16,370,false,723
2017-11-17,3118,false,6092
2017-11-18,316,false,617
2017-11-19,3031,false,5922
2017-11-20,0,false,0
2017-11-21,86,false,168
2017-11-22,22,false,43
2017-11-23,6,false,12
2017-11-24,0,false,0
2017-11-26,0,false,0
2017-11-27,11,false,19
2017-11-28,0,false,0
2017-11-29,2,false,14
2017-11-30,0,false,0
2017-12-01,11,false,1592
2017-12-02,0,false,0
2017-12-03,2,false,0
2017-12-04,4,false,5
2017-12-06,0,false,0
2017-12-07,6,false,745
2017-12-08,8,false,178
2017-12-09,1,false,39
2017-12-10,0,false,0
2017-12-11,11,false,41
2017-12-12,11,false,121
2017-12-13,5,false,362
2017-12-14,0,false,0
2017-12-15,8,false,11
2017-12-16,0,false,0
2017-12-17,0,false,0
2017-12-18,6,false,0
2017-12-19,430,false,6094
2017-12-20,26,false,308
2017-12-21,50,false,1344
2017-12-22,2,false,148
2017-12-23,9,false,311
2017-12-24,69,false,653
2017-12-25,9,false,819
2017-12-26,3,false,54
2017-12-27,4,false,188
2017-12-28,10,false,106
2017-12-29,0,false,0
2017-12-30,67,false,3264
2017-12-31,862,false,20712
2018-01-01,90,false,1609
2018-01-02,626,false,27659
2018-01-03,74,false,341
2018-01-04,424,false,704
2018-01-05,2530,false,3183
2018-01-06,194,false,4261
2018-01-07,238,false,5237
2018-01-08,76,true,2132
2018-01-09,228,false,6069
2018-01-10,339,false,7938
